epoch,gen_loss,disc_loss
677,[3.136962],1.013889
678,[3.1318164],1.0138328
679,[3.1266847],1.013777
680,[3.121567],1.0137216
681,[3.116464],1.0136664
682,[3.1113782],1.0136114
683,[3.1063106],1.0135567
684,[3.1012578],1.0135024
685,[3.0962205],1.0134482
686,[3.0911992],1.0133941
687,[3.0861902],1.0133404
688,[3.0811963],1.013287
689,[3.0762177],1.0132339
690,[3.0712533],1.0131814
691,[3.0663042],1.0131292
692,[3.0613708],1.0130768
693,[3.0564523],1.0130249
694,[3.051549],1.0129733
695,[3.0466611],1.012922
696,[3.0417871],1.0128706
697,[3.0369258],1.0128195
698,[3.0320778],1.0127691
699,[3.0272436],1.0127188
700,[3.0224226],1.0126685
701,[3.0176172],1.0126187
702,[3.012825],1.0125693
703,[3.008047],1.0125203
704,[3.0032852],1.0124716
705,[2.9985373],1.0124229
706,[2.9938047],1.0123744
707,[2.9890847],1.0123265
708,[2.9843795],1.0122788
709,[2.9796867],1.0122311
710,[2.9750066],1.0121839
711,[2.970341],1.0121369
712,[2.965688],1.0120898
713,[2.9610488],1.0120432
714,[2.956421],1.0119972
715,[2.951806],1.0119514
716,[2.9472053],1.011906
717,[2.9426196],1.0118611
718,[2.938046],1.0118161
719,[2.933483],1.011771
720,[2.9289317],1.0117264
721,[2.9243922],1.011682
722,[2.9198668],1.011638
723,[2.9153554],1.0115936
724,[2.910857],1.0115498
725,[2.9063716],1.0115066
726,[2.9018996],1.0114639
727,[2.8974383],1.0114212
728,[2.8929896],1.0113784
729,[2.8885531],1.0113358
730,[2.884128],1.0112941
731,[2.8797162],1.0112525
732,[2.8753169],1.0112115
733,[2.87093],1.0111704
734,[2.8665555],1.0111291
735,[2.8621936],1.0110885
736,[2.8578453],1.0110481
737,[2.8535116],1.0110075
738,[2.849188],1.0109675
739,[2.8448756],1.0109274
740,[2.840576],1.0108876
741,[2.8362896],1.0108483
742,[2.8320148],1.0108088
743,[2.827752],1.0107698
744,[2.8235023],1.0107312
745,[2.819264],1.010693
746,[2.8150392],1.0106547
747,[2.8108237],1.0106169
748,[2.8066204],1.0105795
749,[2.8024285],1.0105418
750,[2.798247],1.0105044
751,[2.7940776],1.0104669
752,[2.789922],1.0104299
753,[2.785777],1.0103931
754,[2.781644],1.0103567
755,[2.777523],1.0103207
756,[2.7734141],1.0102849
757,[2.7693179],1.0102491
758,[2.765233],1.0102136
759,[2.7611585],1.0101783
760,[2.7570965],1.010143
761,[2.753045],1.0101078
762,[2.749003],1.010073
763,[2.7449718],1.0100384
764,[2.7409525],1.010004
765,[2.736945],1.00997
766,[2.7329488],1.0099361
767,[2.7289634],1.0099025
768,[2.7249882],1.0098691
769,[2.7210245],1.009836
770,[2.7170699],1.0098028
771,[2.7131267],1.0097703
772,[2.7091923],1.0097376
773,[2.705268],1.0097048
774,[2.7013552],1.009672
775,[2.6974509],1.0096395
776,[2.6935544],1.0096071
777,[2.6896658],1.0095751
778,[2.6857874],1.0095432
779,[2.681919],1.0095115
780,[2.678061],1.00948
781,[2.6742122],1.0094488
782,[2.6703746],1.0094179
783,[2.6665463],1.009387
784,[2.662728],1.0093563
785,[2.6589186],1.009326
786,[2.6551178],1.009296
787,[2.651328],1.0092659
788,[2.647548],1.0092362
789,[2.643777],1.0092065
790,[2.6400142],1.0091772
791,[2.636263],1.009148
792,[2.6325216],1.009119
793,[2.62879],1.0090904
794,[2.6250687],1.0090617
795,[2.6213572],1.0090331
796,[2.617653],1.0090046
797,[2.6139586],1.008976
798,[2.610272],1.0089476
799,[2.606594],1.0089195
800,[2.602924],1.0088913
801,[2.599261],1.0088634
802,[2.595606],1.0088359
803,[2.5919592],1.0088086
804,[2.588321],1.0087812
805,[2.5846915],1.0087538
806,[2.5810728],1.0087266
807,[2.577462],1.0086995
808,[2.57386],1.0086726
809,[2.5702658],1.0086459
810,[2.56668],1.0086193
811,[2.5631018],1.0085928
812,[2.559533],1.0085666
813,[2.555973],1.0085405
814,[2.5524218],1.0085143
815,[2.54888],1.0084882
816,[2.5453472],1.0084621
817,[2.5418227],1.0084358
818,[2.5383074],1.00841
819,[2.5348015],1.0083842
820,[2.5313048],1.0083585
821,[2.5278184],1.0083327
822,[2.5243425],1.0083072
823,[2.520876],1.008282
824,[2.5174196],1.0082567
825,[2.513972],1.0082316
826,[2.5105324],1.0082064
827,[2.507102],1.0081813
828,[2.5036812],1.0081563
829,[2.500269],1.008132
830,[2.496867],1.0081077
831,[2.4934714],1.0080836
832,[2.4900835],1.0080595
833,[2.4867036],1.0080357
834,[2.4833314],1.0080118
835,[2.47997],1.0079882
836,[2.476615],1.0079644
837,[2.4732695],1.0079408
838,[2.4699311],1.0079174
839,[2.4666018],1.0078943
840,[2.4632802],1.0078712
841,[2.4599674],1.007848
842,[2.456663],1.007825
843,[2.4533665],1.0078019
844,[2.4500773],1.0077791
845,[2.4467952],1.0077562
846,[2.4435203],1.0077336
847,[2.4402533],1.0077112
848,[2.436993],1.0076888
849,[2.4337413],1.0076666
850,[2.4304974],1.0076443
851,[2.427261],1.007622
852,[2.4240317],1.0076001
853,[2.4208095],1.0075779
854,[2.4175947],1.0075562
855,[2.4143882],1.0075347
856,[2.4111898],1.0075132
857,[2.4080005],1.0074914
858,[2.4048195],1.0074699
859,[2.401644],1.0074487
860,[2.3984745],1.0074277
861,[2.395313],1.0074064
862,[2.3921604],1.0073851
863,[2.3890142],1.0073643
864,[2.385877],1.0073435
865,[2.3827457],1.0073225
866,[2.3796227],1.0073017
867,[2.3765056],1.0072808
868,[2.3733952],1.0072601
869,[2.3702934],1.0072395
870,[2.3671968],1.007219
871,[2.3641062],1.0071986
872,[2.361023],1.0071785
873,[2.3579447],1.0071584
874,[2.3548732],1.0071384
875,[2.3518105],1.0071182
876,[2.348755],1.0070984
877,[2.345707],1.0070786
878,[2.342664],1.0070586
879,[2.3396292],1.0070388
880,[2.3365996],1.007019
881,[2.3335767],1.0069994
882,[2.3305607],1.00698
883,[2.327551],1.0069604
884,[2.3245497],1.0069412
885,[2.321555],1.006922
886,[2.318568],1.0069028
887,[2.3155878],1.0068836
888,[2.3126152],1.0068645
889,[2.3096495],1.0068455
890,[2.3066914],1.0068266
891,[2.3037403],1.0068078
892,[2.3007956],1.0067891
893,[2.297858],1.0067706
894,[2.294927],1.0067521
895,[2.2920027],1.0067334
896,[2.2890863],1.006715
897,[2.286176],1.0066967
898,[2.2832723],1.0066786
899,[2.2803733],1.0066605
900,[2.2774813],1.0066426
901,[2.2745965],1.0066247
902,[2.2717185],1.006607
903,[2.2688472],1.0065892
904,[2.2659833],1.0065717
905,[2.2631247],1.0065541
906,[2.2602742],1.0065368
907,[2.2574277],1.0065196
908,[2.25459],1.0065022
909,[2.2517595],1.006485
910,[2.2489333],1.0064676
911,[2.2461133],1.0064505
912,[2.2432992],1.0064335
913,[2.2404912],1.0064166
914,[2.2376897],1.0063994
915,[2.2348952],1.0063827
916,[2.2321074],1.006366
917,[2.2293248],1.0063491
918,[2.2265475],1.0063324
919,[2.2237763],1.0063156
920,[2.2210128],1.0062988
921,[2.218255],1.0062821
922,[2.2155032],1.0062654
923,[2.212759],1.006249
924,[2.2100194],1.0062323
925,[2.207285],1.006216
926,[2.2045577],1.0061998
927,[2.2018368],1.0061833
928,[2.19912],1.0061672
929,[2.1964104],1.0061511
930,[2.193706],1.0061352
931,[2.1910071],1.0061194
932,[2.1883142],1.0061035
933,[2.1856291],1.0060878
934,[2.1829493],1.0060719
935,[2.1802769],1.0060563
936,[2.1776094],1.0060408
937,[2.1749485],1.0060253
938,[2.1722922],1.0060099
939,[2.1696432],1.0059946
940,[2.166999],1.005979
941,[2.1643622],1.0059638
942,[2.161732],1.0059487
943,[2.159106],1.0059333
944,[2.1564872],1.0059183
945,[2.153875],1.0059032
946,[2.151268],1.0058882
947,[2.1486676],1.0058732
948,[2.1460757],1.0058582
949,[2.143486],1.0058432
950,[2.1409037],1.0058284
951,[2.1383293],1.0058138
952,[2.1357594],1.0057992
953,[2.1331968],1.0057845
954,[2.1306398],1.00577
955,[2.1280882],1.0057554
956,[2.1255424],1.0057409
957,[2.123001],1.0057267
958,[2.1204662],1.0057125
959,[2.1179373],1.0056984
960,[2.1154132],1.0056841
961,[2.112894],1.0056701
962,[2.1103814],1.0056559
963,[2.107874],1.0056419
964,[2.1053712],1.0056279
965,[2.1028745],1.005614
966,[2.1003842],1.0056002
967,[2.0978954],1.0055864
968,[2.095413],1.0055726
